Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Gross Domestic Product (GDP),"1,748,886,597","1,831,108,982","1,595,555,482","1,733,333,275","2,155,555,500","2,366,666,613","2,555,555,571","2,953,333,408","3,300,000,103","3,697,940,356","3,641,723,443","3,478,787,916","3,438,884,594","3,399,439,011","3,360,445,864","3,321,900,002","3,320,599,991","2,887,499,993","2,664,299,991","3,342,200,002","3,621,600,007","3,340,100,005","3,474,600,007","2,664,399,992","2,114,600,000","3,236,300,000","3,124,359,411","3,016,290,743","2,911,960,069","2,719,992,175","3,531,869,351","3,620,525,250","4,285,170,218","4,935,548,089","5,586,964,705","6,621,841,654","7,514,260,737","10,380,161,024","10,768,491,849","12,572,620,596","16,077,921,111","19,170,471,325","21,330,882,847","21,610,357,580","21,330,657,481","20,608,089,735","20,235,063,330"
Albania,Gross Domestic Product (GDP),"2,265,577,056","2,330,584,860","2,397,526,448","2,466,543,461","2,537,015,817","2,610,110,369","2,685,745,678","2,760,746,397","2,842,275,926","2,372,305,641","2,141,837,051","2,215,474,766","2,280,424,885","2,305,384,485","2,275,736,342","2,324,414,456","2,397,086,883","2,378,194,810","2,460,399,974","2,940,586,487","2,146,815,829","1,597,072,192","1,516,091,306","1,700,549,584","1,880,950,821","2,392,764,887","3,199,642,024","2,224,654,241","2,554,868,837","3,221,670,165","3,487,586,302","3,926,887,597","4,355,865,889","5,561,459,461","7,177,030,365","8,052,079,314","8,896,076,004","10,677,322,220","12,881,352,058","12,044,210,390","11,926,948,284","12,890,873,323","12,319,779,604","12,776,280,738","13,228,240,079","11,335,262,227","11,863,866,791"
Algeria,Gross Domestic Product (GDP),"5,155,120,658","5,363,676,160","7,176,428,384","9,229,622,200","13,259,764,650","15,555,547,083","17,750,032,488","20,990,939,140","26,373,761,387","33,201,433,009","42,252,197,741","44,264,573,122","45,094,842,770","48,702,201,863","52,827,902,259","57,866,207,279","62,922,803,868","64,333,578,322","58,655,419,182","55,344,476,937","61,751,375,957","46,565,003,199","49,105,553,595","50,846,930,343","42,330,711,146","41,971,488,420","46,836,290,499","48,068,457,028","48,079,007,974","48,531,031,757","54,666,896,857","55,056,733,057","56,819,210,891","67,863,851,626","85,332,517,817","103,198,216,067","117,027,277,939","134,977,088,396","171,000,692,135","137,211,008,421","161,207,304,960","200,013,096,532","209,047,479,471","209,783,498,361","213,809,978,239","165,874,275,965","159,049,145,187"
Andorra,Gross Domestic Product (GDP),"99,476,787","113,128,492","143,506,004","190,863,792","236,055,468","278,514,317","287,588,366","321,390,137","389,745,929","520,742,333","564,812,657","492,189,978","475,654,368","414,836,776","417,649,689","438,742,504","609,881,940","773,493,497","912,838,474","1,006,552,718","1,302,006,184","1,400,576,915","1,531,034,035","1,274,297,409","1,287,524,766","1,491,495,988","1,548,787,643","1,493,901,088","1,533,515,782","1,568,801,032","1,434,428,602","1,496,899,357","1,733,195,719","2,398,553,103","2,935,786,879","3,255,708,103","3,543,075,304","4,016,766,180","4,007,501,604","3,660,310,211","3,355,495,581","3,442,276,938","3,164,641,204","3,281,763,085","3,350,599,726","2,811,617,372","2,858,406,626"
Angola,Gross Domestic Product (GDP),"3,807,845,629","4,008,354,404","4,103,085,021","5,017,414,098","5,628,237,036","4,148,373,898","3,981,809,822","4,345,210,241","4,846,580,654","5,381,375,760","7,152,884,551","6,684,938,833","6,684,938,833","6,985,761,080","7,386,857,410","9,124,941,507","8,556,721,706","9,860,284,778","10,629,052,744","12,367,136,841","13,670,699,913","16,189,237,424","18,586,675,505","13,467,953,136","13,860,724,187","6,642,229,474","8,725,774,018","10,226,790,856","8,617,787,964","8,227,190,253","12,207,354,814","11,948,601,472","15,285,592,186","17,812,705,095","23,552,062,197","36,970,901,025","52,381,025,105","65,266,415,707","88,538,665,288","69,962,395,964","83,799,484,640","111,789,747,671","128,052,915,201","136,709,896,521","145,712,175,328","115,143,205,131","106,917,535,790"
Anguilla,Gross Domestic Product (GDP),"3,902,380","4,589,878","5,416,747","6,129,013","6,749,690","7,371,447","7,058,818","7,889,455","9,103,205","10,504,179","12,122,529","13,988,466","16,142,467","18,629,156","21,625,990","27,126,450","35,064,533","43,734,775","54,742,893","68,125,906","75,601,760","77,720,091","84,450,416","92,101,084","102,769,858","103,736,474","109,541,316","122,672,906","138,637,505","147,301,063","149,959,259","154,922,222","157,444,444","169,777,778","201,174,074","229,114,450","284,263,748","355,278,072","354,325,897","282,504,032","267,930,744","292,415,832","280,111,741","281,991,714","311,343,166","330,163,199","337,520,470"
Antigua and Barbuda,Gross Domestic Product (GDP),"33,865,823","41,156,057","56,405,489","78,360,329","83,529,500","85,416,591","71,000,877","80,823,635","91,503,578","112,682,448","134,449,620","152,098,678","168,525,878","187,261,032","211,924,459","244,778,860","290,440,141","337,174,862","398,637,728","438,794,789","459,469,059","481,706,342","499,281,144","535,172,767","589,429,610","577,280,727","633,730,647","680,617,123","727,860,578","766,198,910","783,837,037","773,766,667","802,529,630","839,996,296","898,355,556","1,014,981,481","1,149,025,926","1,302,388,889","1,359,733,333","1,217,718,519","1,147,940,741","1,141,866,667","1,216,044,444","1,195,885,185","1,280,119,610","1,364,874,371","1,460,157,909"
Argentina,Gross Domestic Product (GDP),"33,984,527,481","40,656,247,705","37,908,171,680","41,468,075,659","47,636,966,540","51,740,713,229","54,575,220,925","61,661,715,352","63,865,153,462","73,987,286,905","81,833,188,507","84,624,923,051","87,035,135,634","94,190,653,606","99,490,062,045","95,529,910,653","114,734,842,768","117,919,338,027","137,512,093,210","83,044,458,652","153,185,723,202","205,589,521,324","247,929,419,773","256,573,074,883","279,266,992,407","279,701,425,371","295,030,768,611","317,532,579,013","324,135,104,738","307,410,162,020","308,148,233,467","291,334,718,272","110,583,590,317","140,444,139,675","165,947,750,429","200,622,205,937","234,391,234,167","289,755,142,707","365,644,376,650","336,359,389,616","426,487,434,874","530,158,176,682","581,430,904,393","613,316,027,357","567,050,145,343","634,018,934,581","545,866,164,479"
Armenia,Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,"2,305,595,682","2,104,061,784","1,253,427,851","1,170,191,219","1,258,767,366","1,372,097,033","1,703,037,605","1,747,514,993","2,017,852,886","1,968,057,835","2,038,534,803","2,259,108,208","2,534,163,311","2,993,550,393","3,814,176,694","5,225,971,850","6,808,524,718","9,817,806,812","12,436,664,185","9,222,355,866","9,875,378,350","10,815,777,611","10,619,320,693","11,121,464,430","11,609,513,241","10,553,337,528","10,572,299,425"
Aruba,Gross Domestic Product (GDP),"176,630,023","186,045,845","195,963,605","206,410,064","217,413,403","229,003,311","241,211,055","254,069,572","267,613,551","281,879,536","296,906,015","312,733,527","329,404,774","346,964,735","365,460,785","384,942,825","405,463,417","487,602,458","596,423,607","695,304,363","764,887,117","872,138,731","958,463,200","1,082,979,708","1,330,167,598","1,320,670,391","1,379,888,268","1,531,843,575","1,665,363,128","1,722,798,883","1,873,452,514","1,920,265,652","1,941,094,724","2,021,305,585","2,228,273,743","2,331,005,587","2,424,581,006","2,615,083,799","2,745,251,397","2,498,882,682","2,390,502,793","2,549,720,670","2,534,636,872","2,581,564,246","2,649,720,670","2,692,737,430","2,667,039,106"
