Region,Year,Young,Middle,Old
Nigeria,1950,15799,20931,1131
Nigeria,1955,17093,22835,1159
Nigeria,1960,18782,25081,1275
Nigeria,1965,21034,27657,1438
Nigeria,1970,23857,30542,1583
Nigeria,1975,27525,34067,1783
Nigeria,1980,32363,39054,2044
Nigeria,1985,37663,43567,2384
Nigeria,1990,42846,49681,2741
Nigeria,1995,47783,57127,3103
Nigeria,2000,53347,65561,3444
Nigeria,2005,60672,74461,3807
Nigeria,2010,69823,84416,4342
Nigeria,2015,79929,96297,4958
China,1950,188730,341134,24557
China,1955,228869,357165,24801
China,1960,260237,373090,24359
China,1965,296541,401225,24796
China,1970,332865,460904,31020
China,1975,366261,516848,37834
China,1980,354808,592318,46751
China,1985,328597,685149,57117
China,1990,337208,768971,66267
China,1995,339934,823614,76396
China,2000,316040,878511,88647
China,2005,262894,957033,101697
China,2010,242692,1002841,114223
China,2015,247072,1014776,135177
Japan,1950,29288,49447,4066
Japan,1955,29919,54427,4672
Japan,1960,28349,60058,5266
Japan,1965,25464,66914,6071
Japan,1970,25301,72409,7212
Japan,1975,27437,76328,8659
Japan,1980,27790,79537,10503
Japan,1985,26381,83187,12325
Japan,1990,23003,86736,14776
Japan,1995,20530,87775,18067
Japan,2000,18854,87017,21662
Japan,2005,17747,85367,25223
Japan,2010,17166,82461,28923
Japan,2015,16626,78056,33294
Bangladesh,1950,15630,20780,1480
Bangladesh,1955,17302,23548,1271
Bangladesh,1960,20172,26736,1293
Bangladesh,1965,24160,30193,1481
Bangladesh,1970,29211,34050,1785
Bangladesh,1975,32157,36996,2153
Bangladesh,1980,36528,42458,2485
Bangladesh,1985,40836,49568,2796
Bangladesh,1990,44953,57919,3315
Bangladesh,1995,47394,67313,3999
Bangladesh,2000,48765,77775,5040
Bangladesh,2005,49398,87923,6112
Bangladesh,2010,48862,96153,7134
Bangladesh,2015,47429,105650,8122
India,1950,141087,223428,11812
India,1955,158598,237746,12924
India,1960,181162,254567,13752
India,1965,206121,275490,16090
India,1970,226128,309080,18371
India,1975,248930,350664,21707
India,1980,273442,398060,25281
India,1985,302702,449822,29142
India,1990,330035,506786,33311
India,1995,351813,569664,39006
India,2000,365775,640951,46326
India,2005,375115,714450,54552
India,2010,380274,787764,62943
India,2015,375146,860126,73781
Pakistan,1950,15142,20307,2094
Pakistan,1955,15892,22553,1979
Pakistan,1960,17587,25376,1943
Pakistan,1965,20548,28286,2009
Pakistan,1970,24629,31252,2211
Pakistan,1975,28787,35467,2533
Pakistan,1980,33508,41561,2997
Pakistan,1985,39290,49359,3570
Pakistan,1990,46311,57165,4201
Pakistan,1995,52445,65490,4893
Pakistan,2000,56931,75930,5663
Pakistan,2005,58724,88641,6544
Pakistan,2010,61714,101313,7533
Pakistan,2015,66319,114566,8495
Indonesia,1950,27241,39547,2754
Indonesia,1955,29727,44658,2945
Indonesia,1960,35002,49646,3145
Indonesia,1965,42297,54654,3361
Indonesia,1970,49634,61392,3807
Indonesia,1975,55617,70597,4510
Indonesia,1980,60586,81611,5291
Indonesia,1985,64423,94593,5997
Indonesia,1990,66104,108466,6866
Indonesia,1995,66295,122480,8181
Indonesia,2000,64914,136665,9963
Indonesia,2005,68127,147729,10857
Indonesia,2010,70254,160510,11762
Indonesia,2015,71922,173086,13152
Mexico,1950,11893,15150,971
Mexico,1955,14544,16992,1068
Mexico,1960,17532,19357,1283
Mexico,1965,20928,22106,1592
Mexico,1970,24204,25884,1940
Mexico,1975,28290,30311,2268
Mexico,1980,31394,35308,2662
Mexico,1985,33113,41211,3034
Mexico,1990,33332,48381,3643
Mexico,1995,34055,55625,4365
Mexico,2000,34844,61745,5129
Mexico,2005,35032,67606,5834
Mexico,2010,34961,75435,6921
Mexico,2015,34586,83145,8157
Brazil,1950,22432,29936,1604
Brazil,1955,26320,34353,1897
Brazil,1960,31152,38781,2274
Brazil,1965,36228,44480,2793
Brazil,1970,40225,51818,3282
Brazil,1975,43367,60344,3903
Brazil,1980,46454,70144,4561
Brazil,1985,50253,80232,5190
Brazil,1990,52959,90355,6038
Brazil,1995,53556,101449,7293
Brazil,2000,52798,113613,8880
Brazil,2005,51301,124577,11039
Brazil,2010,49005,134538,13252
Brazil,2015,46362,143202,16395
United States of America,1950,42596,103167,13042
United States of America,1955,50441,106257,15088
United States of America,1960,57326,112436,17049
United States of America,1965,60078,120828,18914
United States of America,1970,58893,129570,21125
United States of America,1975,54815,140849,23539
United States of America,1980,52133,151068,26563
United States of America,1985,52039,159567,29221
United States of America,1990,54758,165892,31883
United States of America,1995,58506,173542,33612
United States of America,2000,61191,186051,34740
United States of America,2005,61624,197222,36285
United States of America,2010,62259,206343,40039
United States of America,2015,61468,211624,46839
